text_id,text,linenumber
cn29,"Joviality suffused Feathertop Ernie Cargill's voice as he reached behind him , pulling out a battered carpet bag , with leather handles .",93
cn29,"`` Whyn't ya say so , fellow travelers !",94
cn29,"Why , we got dinner right here .",95
cn29,"C'mon , buddy , help me set up the kitchen and we'll have food in a minute or two '' .",96
cn29,"Cappy looked wary , but he moved off the floorboards and followed the dirty ex-musician to the center of the refuse-littered boxcar .",97
cn29,Ernie crouched and opened the carpet bag .,98
cn29,"He took out a small packet filled with bits of charcoal , a deep pot of thin metal , some sheets of newspaper , a book of matches and a wrinkled and many-times folded piece of tin foil with holes in it .",99
cn29,"He put the charcoal in the pot , lit the paper with the matches , and carefully stretched the tin foil across the top of the pot .",100
cn29,"`` A charcoal pit , man '' , he said , indicating the slightly-smoking makeshift brazier .",101
cn29,"`` Fan it '' , he told Cappy , handing him a sheet of newspaper .",102
cn29,"`` Yeah , but what're we gonna eat ?",103
cn29,Charcoal '' ?,104
cn29,"`` Fella '' , Ernie waggled a dirty finger at the younger man , `` you try my ever-lovin' patience '' .",105
cn29,He reached once more into the carpet bag and brought up a package of wieners .,106
cn29,"`` Hot dogs , man .",107
cn29,"Not the greatest , but they stick to your belly insides '' .",108
cn29,"He ripped down the cellophane carefully , and laid three dogs on the tin foil .",109
cn29,Almost immediately they began to sizzle .,110
cn29,He looked up and grinned .,111
cn29,"`` A Kroger's self-serve '' , he explained .",112
cn29,`` I self-served '' .,113
cn29,"When they had licked the last of the wieners' taste from their fingers , they settled back , and Cappy offered Ernie a cigarette .",114
cn29,"Nice kid , Ernie thought , too bad .",115
cn29,"`` How come you're riding the rods , kids like you '' ?",116
cn29,Ernie asked .,117
cn29,"Cappy looked down at his wide hands , and did not reply .",118
cn29,"But surprisingly , Kitty's face came up and she said , `` My father .",119
cn29,He didn't want us to get married .,120
cn29,So we ran away '' .,121
cn29,`` Why didn't he want you to get hitched '' ?,122
cn29,This time even she did not answer .,123
cn29,"She looked down at her hands , too .",124
cn29,"After a few seconds , she said , `` Dad didn't like Cappy .",125
cn29,It was my fault '' .,126
cn29,Cappy's head came around sharply .,127
cn29,"`` Your fault , hell !",128
cn29,It was all my fault .,129
cn29,If I'd been careful it never woulda '' -- he stopped abruptly .,130
cn29,Ernie's eyebrows went up .,131
cn29,`` What's the matter '' ?,132
cn29,"The girl still did not raise her eyes , but she added simply , `` I'm pregnant '' .",133
cn29,Cappy raged at himself .,134
cn29,"`` Oh he was stupid , her old man !",135
cn29,"You never heard nothin' like it : Kitty's gonna go have an abortion , and Kitty's gonna go away to a convent , and Kitty's this and Kitty's that like he was nuts or somethin' , y'know '' ?",136
cn29,Ernie nodded .,137
cn29,This was a slightly different matter .,138
cn29,"He remembered Midge , and the child .",139
cn29,"But that had been a time before all this , a time he didn't think about .",140
cn29,A time before the white lightning and the bumming had turned him inside out .,141
cn29,But these kids weren't like him .,142
cn29,Oh crap !,143
cn29,"He thought , Pull out of it , old son .",144
cn29,These are just another couple of characters to roll .,145
cn29,"What they got , you get .",146
cn29,Now forget all this other .,147
cn29,`` Wanna drink '' ?,148
cn29,"Ernie offered , taking the pint of sweet lucy from his jacket pocket .",149
cn29,`` Yeah .,150
cn29,Now that you offer '' .,151
cn29,The answer came from the open door of the boxcar .,152
cn29,"From the man who had leaped in from the high bank outside , as the train had slowed on the grade .",153
cn29,Ernie stared at the man .,154
cn29,He was big .,155
cn29,"Real big , with shoulders out to here , and hair all over him like a grizzly .",156
cn29,"Road gang , Ernie thought .",157
cn29,"`` You gonna give me a drink , fella '' ?",158
cn29,"The big man asked again , taking a step into the boxcar .",159
cn29,Ernie hesitated a moment .,160
cn29,This character could break him in half .,161
cn29,"`` Sure '' , he said , and lifted the pint to his own lips .",162
cn29,He guzzled down three-quarters of the strong home-blend and proffered the remainder .,163
cn29,"The man stalked toward them , his big boots heavy on the wooden flooring .",164
cn29,"He took the bottle with undue belligerence , and making sucking noises with his thick lips , drained it completely .",165
cn29,"He threw his head back , closed his eyes , and belched ferociously .",166
cn29,"He belched again , and opening his eyes , threw the bottle out the open door .",167
cn29,"`` Well , now '' , he said , and reached into his pocket .",168
cn29,`` I didn't know I was gonna have company in this car '' .,169
cn29,"`` We're going to Philadelphia '' , Kitty said , pulling her skirt down around her legs all the more .",170
cn29,"`` No , I don't think so '' , said the big man , and it was the final clincher for Ernie .",171
cn29,"He had suspected this guy was trouble , and now he was sure of it .",172
cn29,"`` Maybe you and me will , girlie , but these two ain't goin' nowhere '' .",173
cn29,"He advanced on them , and abruptly there was a shocked electricity in the car .",174
cn29,"Ernie was screaming inside himself : No , damn you , you ain't gonna take my meal ticket away from me !",175
cn29,"The newcomer stalked toward them , and Kitty shied back , her hand to her mouth .",176
cn29,"Her scream split up the silence of the car , accompanied by the rattling of the freight , and then Cappy came off the floor , his legs driving him hard .",177
cn29,The kid hit the bigger man with an audible thwump !,178
cn29,And carried him backward in a footballer's tackle .,179
cn29,They went down in a heap and for a long minute there was nothing to see but flailing arms and legs .,180
cn29,"The kid showed for an instant , and his arm was cocked back .",181
cn29,"The fist went down into the pile of flesh , and Ernie heard the bigger man's deeper voice go , `` Aaawww '' !",182
cn29,"Then they were tumbling again , and the big man reached into the same pocket he had gone for earlier , and came up with a vicious switchblade .",183
cn29,He held the knife aloft an instant -- an instant enough to press the stud .,184
cn29,The blade came out with a snick !,185
cn29,"He fisted the knife overhand , and drew back to plunge it into the kid's throat .",186
cn29,Kitty screamed insanely and her face was white .,187
cn29,"She grabbed at Feathertop's sleeve and shrieked , `` Help him !",188
cn29,Help him !,189
cn29,Do something '' !,190
cn17,"I guided her to the divan , turned off the TV , faced her .",191
cn17,"She sat quietly , staring at me from the wide eyes .",192
cn17,And what eyes they were .,193
cn17,"Big and dark , a melting , golden brown .",194
cn17,"Eyes like hot honey , eyes that sizzled .",195
cn17,"Plus flawless skin , smooth brow and cheeks , lips that looked as if you could get a shock from them .",196
cn17,"It was a disturbingly familiar face , too , but I couldn't remember where we had met .",197
cn17,"I said , `` Do we know each other , Miss '' ?",198
cn17,"`` No , I remembered reading about you in the papers and that you lived here , and when it happened all I could think of was '' -- This time she stopped the rush of words herself .",199
cn17,`` I'm sorry .,200
cn17,Shall I go on '' ?,201
cn17,She smiled .,202
cn17,It was her first smile .,203
cn17,But worth waiting for .,204
cn17,`` Sure '' .,205
cn17,I said .,206
cn17,"`` But one word at a time , O.K. ''",207
cn17,"She was still hugging the stained coat around her , so I said , `` Relax , let me take your things .",208
cn17,"Would you like a drink , or coffee '' ?",209
cn17,"`` No , thanks '' .",210
cn17,"She stood up , pulled the coat from her shoulders and started to slide it off , then let out a high-pitched scream and I let out a low-pitched , wobbling sound like a muffler blowing out .",211
cn17,She was wearing nothing beneath the coat .,212
cn17,"She jerked the coat back on and squeezed it around her again , but not soon enough .",213
cn17,"There had been a good second or two during which my muffler had been blowing out , and now I was certain I'd seen her somewhere before .",214
cn17,`` I forgot '' !,215
cn17,She yelped .,216
cn17,"`` Oh , do forgive me .",217
cn17,I'm sorry '' !,218
cn17,`` I forgive '' -- `` That's what started all the trouble in the first place .,219
cn17,"Oh , dear , I'm all unstrung '' .",220
cn17,"`` You and me both , dear .",221
cn17,Haven't we haven't I seen you .,222
cn17,"I mean , surely we've '' -- `` You may have seen me on TV '' , she said .",223
cn17,`` I've done several filmed commercials for '' -- Then it hit me .,224
cn17,`` Zing '' !,225
cn17,I cried .,226
cn17,"`` Why , yes .",227
cn17,And you recognized me '' ?,228
cn17,"`` Yes , indeed .",229
cn17,"In fact , I was watching you on that little seventeen-inch screen when you rang my bell .",230
cn17,"Man , you rang -- it was in color , too , Miss , and Miss ?",231
cn17,"What's your name , anyway ?",232
cn17,"Ah , you were splendid '' .",233
cn17,I sat by her on the divan .,234
cn17,`` Splendid .,235
cn17,In a waterfall and all that '' .,236
cn17,`` That's the last one we did .,237
cn17,That was a fun one '' .,238
cn17,`` I'll bet .,239
cn17,"It was fun for me , all right .",240
cn17,"I don't mean to pry , but do they hide the swimsuit with the bubbles ?",241
cn17,I mean : Is advertising honest ?,242
cn17,`` It depends on who does it .,243
cn17,I never wear anything at all .,244
cn17,"It wouldn't -- wouldn't seem fair , somehow '' .",245
cn17,`` I couldn't agree with you more '' .,246
cn17,"`` I really do have something important to tell you , Mr. Scott .",247
cn17,About the murder '' .,248
cn17,`` Murder ?,249
cn17,"Oh , yeah '' , I said .",250
cn17,`` Tell me about the murder '' .,251
cn17,She told me .,252
cn17,"Zing was the creation of two men , Louis Thor and Bill Blake , partners in zing !",253
cn17,", Inc. .",254
cn17,"They'd peddled the soap virtually alone , and without much success , until about a year ago , when -- with the addition of `` SX-21 '' to their secret formula and the inauguration of a high-powered advertising campaign -- sales had soared practically into orbit .",255
cn17,"Their product had been endorsed by Good Housekeeping , the A.M.A.",256
cn17,", and the Veterinary Journal , among other repositories of higher wisdom , and before much longer if you didn't have a cake of their soap in the john , even your best friends would think you didn't bathe .",257
cn17,"My lovely caller -- Joyce Holland was her name -- had previously done three filmed commercials for zing , and this evening , the fourth , a super production , had been filmed at the home of Louis Thor .",258
cn17,"The water in Thor's big swimming pool had been covered with a blanket of thick , foamy soapsuds -- fashioned , of course , from zing -- Joyce had dived from the board into the pool , then swirled and cavorted in her luxurious `` bath '' while cameras rolled .",259
cn17,"The finished -- and drastically cut -- product would begin with a hazy longshot of Joyce entering the suds , then bursting above the pool's surface clad in layers of lavender lather , and I had a hunch this item was going to sell tons and tons of soap ; ; even to clean men and boys .",260
cn17,"Joyce went on , `` When we'd finished , Lou -- Mr. Thor -- asked me to stay a little longer .",261
cn17,"He wanted a few stills for magazine ads , he said .",262
cn17,"Everybody left and I stayed in the pool , then Lou came back alone and leaped into the pool too .",263
cn17,And he didn't have any clothes on '' .,264
cn17,`` He didn't '' !,265
cn17,"`` Yes , he didn't .",266
cn17,"Did , I mean '' .",267
cn17,She paused .,268
cn17,"`` Did leap into the pool , and didn't have anything on .",269
cn17,"Anyway , it was evident what he had in mind '' .",270
cn17,"`` You got away , didn't you '' ?",271
cn17,`` Yes .,272
cn17,"He caught up with me once and grabbed me , but I was all covered with zing -- it's very slippery , you know '' .",273
cn17,`` I didn't know .,274
cn17,I wouldn't have the stuff in the house .,275
cn17,But I'm pleased to hear '' -- `` So I just scooted out of his clutches .,276
cn17,"I swam like mad , got out of the pool , grabbed my robe , and ran to the car .",277
cn17,"The keys were still in it , and I was miles away before I remembered that my clothes and purse and everything were still in the little cabana where I'd changed '' .",278
cn17,"She'd driven around for a while , Joyce said , then , thinking Louis Thor would have calmed down by that time , she'd gone back to his home on Bryn Mawr Drive , parked in front , and walked toward the pool .",279
cn17,"While several yards from it , still concealed by the shrubbery , she'd seen two men on her left at the pool's edge .",280
cn17,"She went on : `` A man was holding onto Lou , holding him up .",281
cn17,"Maybe Lou was only unconscious , but right then I thought he must be dead .",282
cn17,"The man shoved him into the water , then ran past the cabana .",283
cn17,There's a walk there that goes out to Quebec Drive .,284
cn17,"I was so scared well , I just ran to my car and came here '' .",285
cn17,`` You know who the other man was '' ?,286
cn17,"`` No , I never did see his face .",287
cn17,"I didn't get a good look at him at all , his back was to me , and I was so scared It was just somebody in a man's suit .",288
cn17,But I'm sure the other one was Lou '' .,289
cn17,"What Joyce wanted me to do was go to Thor's house and `` do whatever detectives do '' , and get her clothes -- and handbag containing her identification .",290
cn17,"She realized I'd have to notify the police , but fervently hoped I could avoid mentioning her name .",291
cn17,"Her impact in the zing commercials had led to her being considered for an excellent part in an upcoming TV series , Underwater Western Eye , a documentary-type show to be sponsored by Oatnut Grits .",292
cn17,"But if Joyce got involved in murder or salacious scandal , the role would probably go to the sponsor's wife , Mrs. Oatnut Grits .",293
cn17,Or at least not to Joyce .,294
cn17,"`` And I so want the part '' , she said .",295
cn17,"`` The commercials have just been for money , there hasn't been any real incentive for me to do them , but in Underwater Western Eye I'd have a chance to act .",296
cn17,I could show what I can do '' .,297
cn17,"As far as I was concerned , she had already and had dandily shown what she could do .",298
cn17,"But I promised Joyce I would mention her name , if at all , only as a last resort .",299
cn17,"Seeming much relieved , she smiled one of those worth-waiting-for smiles , and I smiled all the way into the bedroom .",300
cn17,"There I got my Colt Special and shoulder harness , slipped my coat on , and went back into the front room .",301
cn17,Joyce squirmed a little on the divan .,302
cn17,"`` I'm starting to itch '' , she said .",303
cn17,`` Itch '' ?,304
cn17,"`` Yes , I'm still all covered with that soap .",305
cn17,"I was loaded with suds when I ran away , and I haven't had a chance to wash it off .",306
cn17,"Mmmm , it sure itches '' .",307
cn17,"`` You might as well wait here while I'm gone , so you can use my shower if you'd like '' .",308
cn17,"`` Oh , I'd love to '' .",309
cn17,"I showed her the shower and tub , and she said , smiling , `` If you really don't mind , I think I'll get clean in the shower , then soak for a few minutes in your tub .",310
cn17,That always relaxes me .,311
cn17,Doesn't it you '' ?,312
cn17,`` Only when I do it '' .,313
cn17,I shook my head .,314
cn17,One of my virtues or vices is a sort of three-dimensional imagination complete with sound effects and glorious living color .,315
cn17,"`` Soak as long as you want , Joyce .",316
cn17,It'll probably be at least an hour or two before I can check back with you .,317
cn17,"So you'll have everything all to yourself , doggone '' I looked at my watch .",318
cn17,Ten after nine .,319
cn17,"Time to go , I supposed .",320
cn17,"`` Well , goodbye '' , I said .",321
cn17,`` Goodbye .,322
cn17,You'd better hurry '' .,323
cn17,"`` Oh , you can count on that '' .",324
cn17,She smiled slightly .,325
cn17,Softly .,326
cn17,Warmly .,327
cn17,`` Don't hurry too much .,328
cn17,I'll be soaking for at least half an hour '' .,329
cn17,That was all she said .,330
cn17,But suddenly those hot-honey eyes seemed to have everything but swarms of bees in them .,331
cn17,"However , when there's a job to be done , I'm a monstrosity of grim determination , I like to think .",332
cn17,I spun about and clattered through the front room to the door .,333
cn17,"As I went out , I could hear water pouring in the shower .",334
cn17,Hot water .,335
cn17,She wouldn't be taking a cold shower .,336
cn17,"Hell , she couldn't .",337
cn17,"Bryn Mawr Drive is only two or three miles from the Spartan , and it took me less than five minutes to get there .",338
cn17,"But the scene was not the quiet , calm scene I'd expected .",339
cn17,"Four cars were parked at the curb , and two of them were police radio cars .",340
cn17,Lights blazed in the big house and surrounding grounds .,341
cn17,I followed a shrubbery-lined gravel path alongside the house to the pool .,342
cn17,"Two uniformed officers , a couple of plain-clothesmen I knew , and two other men stood on a gray cement area next to the pool on my left .",343
cn17,"At the pool's far end was the little cabana Joyce had mentioned , and on the water's surface floated scattered lavender patches of limp-looking lather .",344
cn17,"A few yards beyond the group of men , a man's nude body lay face down on a patch of thick green dichondra .",345
cn17,"Lieutenant Rawlins , one of the plain-clothesmen , spotted me and said , `` Hi , Shell '' , and walked toward me .",346
cn17,`` How'd you hear about this one '' ?,347
cn17,"I grinned , but ignored the question .",348
cn17,He didn't push it ; ; Rawlins worked out of Central Homicide and we'd been friends for years .,349
cn17,He filled me in .,350
cn17,"A call to the police had been placed from here a couple of minutes after nine P.M. , and the first police car had arrived two or three minutes after that -- 10 minutes ago now .",351
cn17,"Present at the scene -- in addition to the dead man , who was indeed Louis Thor -- had been Thor's partner Bill Blake , and Antony Rose , an advertising agency executive who handled the zing account .",352
cn17,"Neither of them , I understood , had been present at the filming session earlier .",353
cn17,`` What were they doing here '' ?,354
cn17,I asked Rawlins .,355
cn17,"`` They were supposed to meet Thor at nine PM for a conference concerning the ad campaign for their soap , a new angle based on this SX-21 stuff '' .",356
cn17,"`` Yeah , I've heard more about SX-21 than space exploration lately .",357
cn17,What is the gunk '' ?,358
cn17,`` How would I know ?,359
cn17,It's a secret .,360
cn17,That was the new advertising angle -- something about a Lloyd's of London policy to insure the secrecy of the secret ingredient .,361
cn17,"Actually , only two men know what the formula is , Blake and '' -- He stopped and looked at Thor's body .",362
cn17,"I said , `` O.K.",363
cn17,", so now only Blake knows .",364
cn17,"How's it strike you , foul or fair '' ?",365
cn17,`` Can't say yet .,366
cn17,Deputy coroner says it looks like he sucked in a big pile of those thick suds and strangled on 'em .,367
cn17,"The PM might show he drowned instead , but that's what the once-over-lightly gives us .",368
cn17,"Accident , murder , suicide -- take your pick '' .",369
cn17,`` I'll pick murder .,370
cn17,Anything else '' ?,371
cn17,"`` According to Rose , he arrived here a couple minutes before nine and spotted Thor in the water , got a hooked pole from the pool-equipment locker and started hauling him out .",372
cp24,There was a crowd in the stands for a change and the sun was hot .,373
cp24,The new Riverside pitcher turned out to have an overhand fast ball that took a hop .,374
cp24,For a few innings the Anniston team couldn't figure him out .,375
cp24,"Then , in the fifth , Anniston's kid catcher caught onto a curve and smacked the ball into left center field .",376
cp24,"Eddie Lee , Riverside's redheaded playing manager , ran after the ball but it rolled past him .",377
cp24,Phil Rossoff cut over to center from left field to get the relay .,378
cp24,Eddie caught up with the ball near the fence and threw it to Phil .,379
cp24,`` Third !,380
cp24,Third base '' !,381
cp24,Eddie shouted .,382
cp24,Phil spun around and made an accurate throw into Mike Deegan's hands on third base .,383
cp24,Mike caught the ball just as the catcher slid into the bag .,384
cp24,But the Anniston boy had begun his slide too late .,385
cp24,He came into the bag with his body and Mike Deegan brought the ball down full in his face .,386
cp24,`` You bastard '' !,387
cp24,The Anniston catcher screamed .,388
cp24,He jumped to his feet and started to throw punches .,389
cp24,Mike Deegan tossed his glove away and began to swing at the catcher .,390
cp24,"This brought in everybody from both sides , while the spectators stood up and added to the uproar .",391
cp24,The fighters were separated in a few minutes .,392
cp24,The game was resumed .,393
cp24,But Mike Deegan was boiling mad now .,394
cp24,When the inning was over he cursed the Anniston catcher all the way into the dugout .,395
cp24,"Phil Rossoff , coming in from left field , stopped at the water fountain for a drink .",396
cp24,"Mike Deegan was standing beside it , facing the field .",397
cp24,He was eyeing the Anniston catcher warming up his pitcher before the inning began .,398
cp24,"`` Keep your eyes open , sonny '' !",399
cp24,Mike yelled to the catcher .,400
cp24,`` You're in for trouble '' .,401
cp24,The Anniston catcher did not reply with words .,402
cp24,He simply turned to Mike and smiled .,403
cp24,This so infuriated Deegan that he spun around and said : `` I'll get that little bastard .,404
cp24,"So help me God , I'll get him '' .",405
cp24,Phil Rossoff said : `` Why don't you leave him alone '' ?,406
cp24,"`` Mind your own goddamn business '' , Mike Deegan said .",407
cp24,Phil shrugged .,408
cp24,"He stepped into the dugout , wondering why Deegan was always looking for trouble .",409
cp24,Maybe the answer was in his eyes .,410
cp24,When Deegan smiled his eyes never fit in with his lips .,411
cp24,In the last of the sixth inning Mike Deegan got up to bat and hit a fast ball over the left fielder's head .,412
cp24,By the time the fielder got his hands on the ball Deegan was rounding third base and heading for home .,413
cp24,The left fielder threw and it was a good one .,414
cp24,But Mike had no chance of being tagged .,415
cp24,The Anniston catcher was straddling home plate .,416
cp24,"All Deegan had to do was slide , fall away , but instead , he rammed into the catcher .",417
cp24,Both fell heavily to the ground .,418
cp24,Only Mike got to his feet .,419
cp24,"He went back to touch home plate , turned and walked to the dugout without looking back .",420
cp24,The Anniston players and their manager ran out on the field .,421
cp24,They poured water over their catcher's face .,422
cp24,He did not move .,423
cp24,Then the manager called for a doctor .,424
cp24,The Riverside physician came down to look over the injured ballplayer .,425
cp24,"Then , quickly , and a little nervously , the doctor ordered a couple of ballplayers to carry the catcher into the dressing room .",426
cp24,"Mike Deegan was sitting on the bench , watching .",427
cp24,When the ballplayers started to carry the catcher off the field he said : `` That ought to teach the sonofabitch '' .,428
cp24,"Phil Rossoff , seated next to Deegan , got up and moved to the other end of the bench .",429
cp24,The Anniston manager was coming over to the Riverside dugout .,430
cp24,He was followed by four of his men .,431
cp24,It began to look as if something was going to happen .,432
cp24,Mike sat quietly watching the manager come nearer .,433
cp24,Eddie Lee moved over to Mike Deegan's side .,434
cp24,No one said a word .,435
cp24,The Anniston manager came right up to the dugout in front of Mike .,436
cp24,His face was flushed .,437
cp24,"`` Deegan '' , the manager said , his voice pitched low , quivering .",438
cp24,`` That was a rotten thing to do '' .,439
cp24,"`` For God's sake '' , Mike said , waving the manager away .",440
cp24,"`` Stop it , will you ?",441
cp24,Tell your guys not to block the plate '' .,442
cp24,`` You didn't have to ram him '' .,443
cp24,`` That's what you say '' .,444
cp24,The Anniston manager looked at Eddie Lee .,445
cp24,It was a cold and calculated look .,446
cp24,He turned and went back across the field to his dugout .,447
cp24,"He called in the pitcher who had been pitching , and a big , heavy , powerfully built right hander moved out to the mound for Anniston .",448
cp24,The game started again and in the eighth inning Mike Deegan came up to bat .,449
cp24,Everyone in the ball park seemed to be standing and shouting .,450
cp24,The first ball the hefty pitcher threw came in for Mike's head .,451
cp24,"Deegan fell into the dirt , the ball going over him .",452
cp24,He arose slowly and brushed himself off .,453
cp24,He got back into the batter's box and on the next pitch dropped into the dirt again .,454
cp24,`` Hit the bum '' !,455
cp24,Somebody yelled from the Anniston bench .,456
cp24,"In the Riverside dugout Frankie Ricco , shortstop , whispered into Phil's ear : `` There's gonna be a fight '' .",457
cp24,`` Look at those bastards '' !,458
cp24,"Charlie Haydon , a pitcher , said .",459
cp24,`` They're looking for trouble '' .,460
cp24,Mike was slow getting into the box this time .,461
cp24,When he finally did he had to duck his head quickly away as the pitch came in .,462
cp24,`` Listen '' !,463
cp24,He shouted to the pitcher .,464
cp24,`` One more and I'm coming out there '' !,465
cp24,`` I'll be waiting '' !,466
cp24,The pitcher yelled back .,467
cp24,Mike Deegan pounded the rubber plate with the end of his bat .,468
cp24,"He stood flat-footed in the box , but not very close to the plate now .",469
cp24,The pitcher wound up and the ball came in straight for Mike's head .,470
cp24,"Deegan dropped , got up , turned and , holding the bat with both hands up against his chest , began to walk slowly out to the mound .",471
cp24,The pitcher tossed his glove away and came towards Mike Deegan .,472
cp24,"They were both walking towards each other , unhurried .",473
cp24,Riverside and Anniston players rushed out on the field .,474
cp24,"In the next moment , it seemed , the infield was crowded with spectators , ballplayers , cops , kids and a dog .",475
cp24,There was much shouting and screaming .,476
cp24,Fights sprang up and were quickly squelched .,477
cp24,Mike and the Anniston pitcher were pulled away before they even came together .,478
cp24,Phil Rossoff and two other Riverside players did not go out on the field when the fighting started .,479
cp24,"After the game , Phil was taking off his sweatshirt in the dressing room when Mike Deegan came in .",480
cp24,"`` It's a helluva thing '' , Mike said , looking at Phil , `` when a guy's own team-mate won't come out and help him in a fight '' .",481
